grid,county,state,place,gradient
31945.0,Crow Wing,MN,"Crow Wing County, MN",1872.0
31946.0,Aitkin,MN,"Aitkin County, MN",1885.0
31947.0,Aitkin,MN,"Aitkin County, MN",1898.0
31948.0,Aitkin,MN,"Aitkin County, MN",1911.0
31949.0,Carlton,MN,"Carlton County, MN",1924.0
31950.0,Carlton,MN,"Carlton County, MN",1937.0
31951.0,Carlton,MN,"Carlton County, MN",1950.0
31634.0,Wilkin,MN,"Wilkin County, MN",1862.0
31635.0,Wilkin,MN,"Wilkin County, MN",1876.0
31636.0,Otter Tail,MN,"Otter Tail County, MN",1890.0
31637.0,Otter Tail,MN,"Otter Tail County, MN",1904.0
31638.0,Otter Tail,MN,"Otter Tail County, MN",1918.0
31639.0,Otter Tail,MN,"Otter Tail County, MN",1932.0
31640.0,Wadena,MN,"Wadena County, MN",1946.0
31641.0,Wadena,MN,"Wadena County, MN",1960.0
31642.0,Cass,MN,"Cass County, MN",1974.0
31643.0,Cass,MN,"Cass County, MN",1988.0
31644.0,Crow Wing,MN,"Crow Wing County, MN",2002.0
31645.0,Crow Wing,MN,"Crow Wing County, MN",2016.0
31646.0,Aitkin,MN,"Aitkin County, MN",2030.0
31647.0,Aitkin,MN,"Aitkin County, MN",2044.0
31648.0,Aitkin,MN,"Aitkin County, MN",2058.0
31649.0,Pine,MN,"Pine County, MN",2072.0
31650.0,Pine,MN,"Pine County, MN",2086.0
31651.0,Pine,MN,"Pine County, MN",2100.0
31335.0,Wilkin,MN,"Wilkin County, MN",2010.0
31336.0,Otter Tail,MN,"Otter Tail County, MN",2025.0
31337.0,Otter Tail,MN,"Otter Tail County, MN",2040.0
31338.0,Otter Tail,MN,"Otter Tail County, MN",2055.0
31339.0,Otter Tail,MN,"Otter Tail County, MN",2070.0
31340.0,Todd,MN,"Todd County, MN",2085.0
31341.0,Todd,MN,"Todd County, MN",2100.0
31342.0,Morrison,MN,"Morrison County, MN",2115.0
31343.0,Morrison,MN,"Morrison County, MN",2130.0
31344.0,Morrison,MN,"Morrison County, MN",2145.0
31345.0,Morrison,MN,"Morrison County, MN",2160.0
31346.0,Mille Lacs,MN,"Mille Lacs County, MN",2175.0
31347.0,Kanabec,MN,"Kanabec County, MN",2190.0
31348.0,Kanabec,MN,"Kanabec County, MN",2205.0
31349.0,Pine,MN,"Pine County, MN",2220.0
31350.0,Pine,MN,"Pine County, MN",2235.0
31351.0,Pine,MN,"Pine County, MN",2250.0
31035.0,Traverse,MN,"Traverse County, MN",2144.0
31036.0,Grant,MN,"Grant County, MN",2160.0
31037.0,Grant,MN,"Grant County, MN",2176.0
31038.0,Douglas,MN,"Douglas County, MN",2192.0
31039.0,Douglas,MN,"Douglas County, MN",2208.0
31040.0,Todd,MN,"Todd County, MN",2224.0
31041.0,Todd,MN,"Todd County, MN",2240.0
31042.0,Morrison,MN,"Morrison County, MN",2256.0
31043.0,Morrison,MN,"Morrison County, MN",2272.0
31044.0,Morrison,MN,"Morrison County, MN",2288.0
31045.0,Morrison,MN,"Morrison County, MN",2304.0
31046.0,Mille Lacs,MN,"Mille Lacs County, MN",2320.0
31047.0,Kanabec,MN,"Kanabec County, MN",2336.0
31048.0,Pine,MN,"Pine County, MN",2352.0
31049.0,Pine,MN,"Pine County, MN",2368.0
30734.0,Traverse,MN,"Traverse County, MN",2261.0
30735.0,Traverse,MN,"Traverse County, MN",2278.0
30736.0,Stevens,MN,"Stevens County, MN",2295.0
30737.0,Stevens,MN,"Stevens County, MN",2312.0
30738.0,Pope,MN,"Pope County, MN",2329.0
30739.0,Pope,MN,"Pope County, MN",2346.0
30740.0,Stearns,MN,"Stearns County, MN",2363.0
30741.0,Stearns,MN,"Stearns County, MN",2380.0
