grid,statefp,county,state
31045.0,27.0,Morrison,MN
31046.0,27.0,Mille Lacs,MN
31047.0,27.0,Kanabec,MN
31048.0,27.0,Pine,MN
31049.0,27.0,Pine,MN
30734.0,27.0,Traverse,MN
30735.0,27.0,Traverse,MN
30736.0,27.0,Stevens,MN
30737.0,27.0,Stevens,MN
30738.0,27.0,Pope,MN
30739.0,27.0,Pope,MN
30740.0,27.0,Stearns,MN
30741.0,27.0,Stearns,MN
30742.0,27.0,Stearns,MN
30743.0,27.0,Stearns,MN
30744.0,27.0,Benton,MN
30745.0,27.0,Benton,MN
30746.0,27.0,Mille Lacs,MN
30747.0,27.0,Isanti,MN
30748.0,27.0,Chisago,MN
30435.0,27.0,Big Stone,MN
30436.0,27.0,Big Stone,MN
30437.0,27.0,Swift,MN
30438.0,27.0,Swift,MN
30439.0,27.0,Swift,MN
30440.0,27.0,Kandiyohi,MN
30441.0,27.0,Kandiyohi,MN
30442.0,27.0,Stearns,MN
30443.0,27.0,Stearns,MN
30444.0,27.0,Stearns,MN
30445.0,27.0,Sherburne,MN
30446.0,27.0,Sherburne,MN
30447.0,27.0,Anoka,MN
30448.0,27.0,Anoka,MN
30449.0,27.0,Chisago,MN
30135.0,27.0,Lac qui Parle,MN
30136.0,27.0,Lac qui Parle,MN
30137.0,27.0,Chippewa,MN
30138.0,27.0,Chippewa,MN
30139.0,27.0,Chippewa,MN
30140.0,27.0,Kandiyohi,MN
30141.0,27.0,Kandiyohi,MN
30142.0,27.0,Meeker,MN
30143.0,27.0,Meeker,MN
30144.0,27.0,Wright,MN
30145.0,27.0,Wright,MN
30146.0,27.0,Hennepin,MN
30147.0,27.0,Hennepin,MN
30148.0,27.0,Anoka,MN
30149.0,27.0,Washington,MN
29835.0,27.0,Lac qui Parle,MN
29836.0,27.0,Lac qui Parle,MN
29837.0,27.0,Lac qui Parle,MN
29838.0,27.0,Chippewa,MN
29839.0,27.0,Renville,MN
29840.0,27.0,Renville,MN
29841.0,27.0,Renville,MN
29842.0,27.0,Renville,MN
29843.0,27.0,McLeod,MN
29844.0,27.0,McLeod,MN
29845.0,27.0,Carver,MN
29846.0,27.0,Carver,MN
29847.0,27.0,Hennepin,MN
29848.0,27.0,Dakota,MN
29849.0,27.0,Washington,MN
29535.0,27.0,Lincoln,MN
29536.0,27.0,Lincoln,MN
29537.0,27.0,Lyon,MN
29538.0,27.0,Lyon,MN
29539.0,27.0,Yellow Medicine,MN
29540.0,27.0,Renville,MN
29541.0,27.0,Renville,MN
29542.0,27.0,Sibley,MN
29543.0,27.0,Sibley,MN
29544.0,27.0,Sibley,MN
29545.0,27.0,Sibley,MN
29546.0,27.0,Scott,MN
29547.0,27.0,Scott,MN
29548.0,27.0,Dakota,MN
29549.0,27.0,Dakota,MN
29550.0,27.0,Goodhue,MN
29235.0,27.0,Lincoln,MN
29236.0,27.0,Lincoln,MN
29237.0,27.0,Lyon,MN
29238.0,27.0,Lyon,MN
29239.0,27.0,Redwood,MN
29240.0,27.0,Redwood,MN
29241.0,27.0,Redwood,MN
29242.0,27.0,Brown,MN
29243.0,27.0,Nicollet,MN
29244.0,27.0,Nicollet,MN
29245.0,27.0,Le Sueur,MN
29246.0,27.0,Le Sueur,MN
29247.0,27.0,Rice,MN
29248.0,27.0,Rice,MN
29249.0,27.0,Goodhue,MN
29250.0,27.0,Goodhue,MN
29251.0,27.0,Wabasha,MN
29252.0,27.0,Wabasha,MN
28935.0,27.0,Pipestone,MN
28936.0,27.0,Pipestone,MN
28937.0,27.0,Murray,MN
28938.0,27.0,Murray,MN
28939.0,27.0,Cottonwood,MN
28940.0,27.0,Cottonwood,MN
28941.0,27.0,Brown,MN
28942.0,27.0,Brown,MN
28943.0,27.0,Brown,MN
28944.0,27.0,Blue Earth,MN
28945.0,27.0,Blue Earth,MN
28946.0,27.0,Waseca,MN
28947.0,27.0,Steele,MN
28948.0,27.0,Steele,MN
28949.0,27.0,Dodge,MN
28950.0,27.0,Olmsted,MN
28951.0,27.0,Olmsted,MN
28952.0,27.0,Wabasha,MN
28953.0,27.0,Winona,MN
28635.0,27.0,Pipestone,MN
28636.0,27.0,Pipestone,MN
28637.0,27.0,Murray,MN
28638.0,27.0,Murray,MN
28639.0,27.0,Cottonwood,MN
28640.0,27.0,Cottonwood,MN
28641.0,27.0,Cottonwood,MN
28642.0,27.0,Watonwan,MN
28643.0,27.0,Watonwan,MN
28644.0,27.0,Blue Earth,MN
28645.0,27.0,Blue Earth,MN
28646.0,27.0,Waseca,MN
28647.0,27.0,Steele,MN
28648.0,27.0,Steele,MN
28649.0,27.0,Dodge,MN
28650.0,27.0,Olmsted,MN
28651.0,27.0,Olmsted,MN
28652.0,27.0,Olmsted,MN
28653.0,27.0,Winona,MN
28654.0,27.0,Winona,MN
28655.0,27.0,Winona,MN
28335.0,27.0,Rock,MN
28336.0,27.0,Rock,MN
28337.0,27.0,Nobles,MN
28338.0,27.0,Nobles,MN
28339.0,27.0,Jackson,MN
28340.0,27.0,Jackson,MN
28341.0,27.0,Jackson,MN
28342.0,27.0,Martin,MN
28343.0,27.0,Martin,MN
28344.0,27.0,Faribault,MN
28345.0,27.0,Faribault,MN
28346.0,27.0,Freeborn,MN
28347.0,27.0,Freeborn,MN
28348.0,27.0,Freeborn,MN
28349.0,27.0,Mower,MN
28350.0,27.0,Mower,MN
28351.0,27.0,Fillmore,MN
28352.0,27.0,Fillmore,MN
28353.0,27.0,Fillmore,MN
28354.0,27.0,Houston,MN
28355.0,27.0,Houston,MN
34530.0,53.0,Whatcom,WA
34531.0,53.0,Whatcom,WA
34532.0,53.0,Whatcom,WA
34533.0,53.0,Whatcom,WA
34534.0,53.0,Whatcom,WA
34535.0,53.0,Whatcom,WA
34536.0,53.0,Whatcom,WA
34537.0,53.0,Whatcom,WA
34538.0,53.0,Okanogan,WA
34539.0,53.0,Okanogan,WA
34540.0,53.0,Okanogan,WA
34541.0,53.0,Okanogan,WA
34542.0,53.0,Okanogan,WA
34543.0,53.0,Okanogan,WA
34544.0,53.0,Okanogan,WA
34545.0,53.0,Okanogan,WA
34546.0,53.0,Ferry,WA
34547.0,53.0,Ferry,WA
34548.0,53.0,Stevens,WA
34549.0,53.0,Stevens,WA
34550.0,53.0,Stevens,WA
34551.0,53.0,Pend Oreille,WA
34552.0,53.0,Pend Oreille,WA
34231.0,53.0,Skagit,WA
34232.0,53.0,Skagit,WA
34233.0,53.0,Skagit,WA
34234.0,53.0,Skagit,WA
34235.0,53.0,Skagit,WA
34236.0,53.0,Skagit,WA
34237.0,53.0,Skagit,WA
34238.0,53.0,Okanogan,WA
34239.0,53.0,Okanogan,WA
34240.0,53.0,Okanogan,WA
34241.0,53.0,Okanogan,WA
34242.0,53.0,Okanogan,WA
34243.0,53.0,Okanogan,WA
34244.0,53.0,Okanogan,WA
34245.0,53.0,Okanogan,WA
34246.0,53.0,Ferry,WA
34247.0,53.0,Ferry,WA
34248.0,53.0,Ferry,WA
34249.0,53.0,Stevens,WA
34250.0,53.0,Stevens,WA
34251.0,53.0,Pend Oreille,WA
34252.0,53.0,Pend Oreille,WA
33930.0,53.0,Island,WA
33931.0,53.0,Skagit,WA
33932.0,53.0,Skagit,WA
33933.0,53.0,Skagit,WA
33934.0,53.0,Skagit,WA
33935.0,53.0,Skagit,WA
33936.0,53.0,Skagit,WA
33937.0,53.0,Chelan,WA
33938.0,53.0,Chelan,WA
33939.0,53.0,Okanogan,WA
33940.0,53.0,Okanogan,WA
33941.0,53.0,Okanogan,WA
33942.0,53.0,Okanogan,WA
33943.0,53.0,Okanogan,WA
33944.0,53.0,Okanogan,WA
33945.0,53.0,Okanogan,WA
33946.0,53.0,Ferry,WA
33947.0,53.0,Ferry,WA
33948.0,53.0,Stevens,WA
33949.0,53.0,Stevens,WA
33950.0,53.0,Stevens,WA
33951.0,53.0,Pend Oreille,WA
33952.0,53.0,Pend Oreille,WA
33622.0,53.0,Clallam,WA
33623.0,53.0,Clallam,WA
33624.0,53.0,Clallam,WA
33625.0,53.0,Clallam,WA
33626.0,53.0,Clallam,WA
33628.0,53.0,Clallam,WA
33632.0,53.0,Snohomish,WA
33633.0,53.0,Snohomish,WA
33634.0,53.0,Snohomish,WA
33635.0,53.0,Snohomish,WA
33636.0,53.0,Snohomish,WA
33637.0,53.0,Chelan,WA
33638.0,53.0,Chelan,WA
